ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון
125820,משק יעקבס,משק יעקבס,"1258200 גבינת שמנת 2ק""ג",ברקודים חדשים,מסמן על אריזות
130248,מצות אביב,500 גרם,קמח מצה חמץ,ברקודים חדשים,מסמן בפועל
130606,מצות אביב,200 גרם,קמח מצה חמץ,ברקודים חדשים,מסמן בפועל
212173,מנעמים,מנעמים,ופל בטעם שוקולד 500 גר,ברקודים חדשים,
212401,מנעמים,מנעמים,ופל מצופית שוקו 400 גר,ברקודים חדשים,מסמן על אריזות
212579,מנעמים,מנעמים,ופל מצופה 20 גר*40 יח,ברקודים חדשים,
214115,פרי גליל,ויטה-2,מרק עוף צנצ . 400ויטה,ברקודים חדשים,מסמן על רב המוצרים
214115,פרי גליל,ויטה-2,מרק עוף צנצ . 400כשלפ,ברקודים חדשים,מסמן על רב המוצרים
218502,פרי גליל,ויטה-2,חמין א -2ויטה בדצ,ברקודים חדשים,מסמן על רב המוצרים
223216,פרי גליל,טל-14,חומץ 1ל טל,ברקודים חדשים,מסמן על רב המוצרים
223216,פרי גליל,טל-14,חומץ 1ל טל כשלפ,ברקודים חדשים,מסמן על רב המוצרים
223315,פרי גליל,טל-14,ר.לימון משומר 1ליטר טל,ברקודים חדשים,מסמן על רב המוצרים
288048,סנו,סנו,סנו ז'אוול מרסס 1 ליטר,ברקודים חדשים,
288079,סנו,סנו,סנו ז'אוול 2 ליטר,ברקודים חדשים,
288492,סנו,סנו,"סנובון נוזלי 750 מ""ל",ברקודים חדשים,
292687,סנו,סנו,סנובון כחול שלישייה,ברקודים חדשים,
295367,סנו,סנו,"סנו מקסימה אבקת כביסה 2.5 ק""ג",ברקודים חדשים,
303581,פרי גליל,פרי הגליל-1,פול מצרי א -2פג,ברקודים חדשים,מסמן על רב המוצרים
303598,פרי גליל,פרי הגליל-1,שע .ברוטב א -2אגודה,ברקודים חדשים,מסמן על רב המוצרים
303598,פרי גליל,פרי הגליל-1,שע .ברוטב א -2רבנות,ברקודים חדשים,מסמן על רב המוצרים
303604,פרי גליל,פרי הגליל-1,חומוס א -2אגודה פג,ברקודים חדשים,מסמן על רב המוצרים
303604,פרי גליל,פרי הגליל-1,חומוס א -2רבנות פג,ברקודים חדשים,מסמן על רב המוצרים
307015,פרי גליל,פרי הגליל-1,אפונה א -2פג,ברקודים חדשים,מסמן על רב המוצרים
307046,פרי גליל,פרי הגליל-1,אפונה וגזר א -2פג,ברקודים חדשים,מסמן על רב המוצרים
307046,פרי גליל,פרי הגליל-1,אפונה וגזר א- 2פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
307220,פרי גליל,פרי הגליל-1,תירס 12אונק פג,ברקודים חדשים,מסמן על רב המוצרים
307220,פרי גליל,פרי הגליל-1,תירס 12אונק פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
307237,פרי גליל,פרי הגליל-1,תירס א -2פג,ברקודים חדשים,מסמן על רב המוצרים
307237,פרי גליל,פרי הגליל-1,תירס א- 2פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
307244,פרי גליל,פרי הגליל-1,רסק ת עץ טבעי א -2פג,ברקודים חדשים,מסמן על רב המוצרים
307251,פרי גליל,פרי הגליל-1,רסק ת עץ ממותק א -2פג,ברקודים חדשים,מסמן על רב המוצרים
307275,פרי גליל,פרי הגליל-1,שזיף בסירופ א -2פג,ברקודים חדשים,מסמן על רב המוצרים
307336,פרי גליל,פרי הגליל-1,שע צהובה א -2פג,ברקודים חדשים,מסמן על רב המוצרים
307343,פרי גליל,פרי הגליל-1,שע ירוקה א -2פג,ברקודים חדשים,מסמן על רב המוצרים
307800,פרי גליל,פרי הגליל-1,פול 800פג,ברקודים חדשים,מסמן על רב המוצרים
307800,פרי גליל,פרי הגליל-1,פול 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים
307985,פרי גליל,פרי הגליל-1,תירס 12אונק ל מלח פג,ברקודים חדשים,מסמן על רב המוצרים
307985,פרי גליל,פרי הגליל-1,תירס 12אונק ל מלח פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
355009,פרי גליל,טל-14,רס.עגב. 100ג BX22טל (פח),ברקודים חדשים,מסמן על רב המוצרים
355382,פרי גליל,טל-14,עגב.מרוסקות בזיל. א- 2.5טל,ברקודים חדשים,מסמן על רב המוצרים
355399,פרי גליל,טל-14,ר.טומטו מקס א-2.5,ברקודים חדשים,מסמן על רב המוצרים
355405,פרי גליל,טל-14,עגב.מרוסקות בצל א- 2.5טל,ברקודים חדשים,מסמן על רב המוצרים
355412,פרי גליל,טל-14,עגב.מרוסקות שום א- 2.5טל,ברקודים חדשים,מסמן על רב המוצרים
355481,פרי גליל,טומטו-16,רוטב עגב. א- BX22 2טומטו (רבנות),ברקודים חדשים,מסמן על רב המוצרים
355481,פרי גליל,טומטו-16,רוטב עגב. א- BX22 2טומטו רובין,ברקודים חדשים,מסמן על רב המוצרים
355498,פרי גליל,טומטו-16,רוטב עגב. א- BX28 2טומטו (רבנות),ברקודים חדשים,מסמן על רב המוצרים
355498,פרי גליל,טומטו-16,רוטב עגב. א- BX28 2טומטו רובין,ברקודים חדשים,מסמן על רב המוצרים
355504,פרי גליל,טל-14,רס.עגב. א- BX22 2טל,ברקודים חדשים,מסמן על רב המוצרים
355511,פרי גליל,טל-14,רכ.עגב.א- BX28 2טל (12יח),ברקודים חדשים,מסמן על רב המוצרים
355511,פרי גליל,טל-14,רכ.עגב.א- BX28 2טל ( 24יחידות),ברקודים חדשים,מסמן על רב המוצרים
355719,פרי גליל,טל-14,עגב.קוביות א- 2.5טל (רובין),ברקודים חדשים,מסמן על רב המוצרים
355733,פרי גליל,טל-14,עגב.מקולפות א- 2.5טל,ברקודים חדשים,מסמן על רב המוצרים
355733,פרי גליל,טל-14,עגב.מקולפות א- 2.5טל רובין,ברקודים חדשים,מסמן על רב המוצרים
355757,פרי גליל,טל-14,עגב.מרוסקות א- 2.5טל (רובין),ברקודים חדשים,מסמן על רב המוצרים
355863,פרי גליל,טל-14,מיץ.עגבניות 1ליטר,ברקודים חדשים,מסמן על רב המוצרים
356631,פרי גליל,טל-14,עגב.מרוסקת 300X2טל,ברקודים חדשים,מסמן על רב המוצרים
356648,פרי גליל,טל-14,עגב.מרוסקות שום 300X2טל,ברקודים חדשים,מסמן על רב המוצרים
356662,פרי גליל,טל-14,עגב.מרוסקת בזיל. 300X2טל,ברקודים חדשים,מסמן על רב המוצרים
356679,פרי גליל,טל-14,ר.עגבניות לבישול 300X2,ברקודים חדשים,מסמן על רב המוצרים
356730,פרי גליל,טל-14,רס.עגב. 330X2טל,ברקודים חדשים,מסמן על רב המוצרים
356952,פרי גליל,טל-14,עגב.מגורדות 300X2טל,ברקודים חדשים,מסמן על רב המוצרים
1006337,PL אוסטיב עוף טוב,שופרסל,חזה הודו בדבש שופרסל קג,ברקודים חדשים,
1006344,PL אוסטיב עוף טוב,שופרסל,חזה הודו ברביקיו שופרסל,ברקודים חדשים,
1006351,PL אוסטיב עוף טוב,שופרסל,חזה הודו פפריקה שופרסל ק,ברקודים חדשים,
1006368,PL אוסטיב עוף טוב,שופרסל,פסטרמה איטלקית שופרסל קג,ברקודים חדשים,
1006375,PL אוסטיב עוף טוב,שופרסל,פסטרמה מקסיקני שופרסל קג,ברקודים חדשים,
1136287,סנו,סנו,"נקה 7 שמפו 750 מ""ל",ברקודים חדשים,
1258019,משק יעקבס,משק יעקבס,1258019   קממברט עיזים בייבי -מעדניה,ברקודים חדשים,מסמן על אריזות
1258026,משק יעקבס,משק יעקבס,1258026   גבינת משק יחידות,ברקודים חדשים,מסמן על אריזות
1258088,משק יעקבס,משק יעקבס,1258088   קצ'וטה,ברקודים חדשים,מסמן על אריזות
1258101,משק יעקבס,משק יעקבס,1258101 גאודה טבעי,ברקודים חדשים,מסמן על אריזות
